Period,Value
Q1-2010,46
Q2-2010,50
Q3-2010,52
Q4-2010,53
Q1-2011,45
Q2-2011,49
Q3-2011,56
Q4-2011,51
Q1-2012,47
Q2-2012,50
Q3-2012,52
Q4-2012,51
Q1-2013,46
Q2-2013,48
Q3-2013,52
Q4-2013,50
Q1-2014,44
Q2-2014,47
Q3-2014,52
Q4-2014,51
Q1-2015,46
Q2-2015,47
Q3-2015,53
Q4-2015,52
Q1-2016,45
Q2-2016,52
Q3-2016,54
Q4-2016,56
Q1-2017,39
Q2-2017,51
Q3-2017,57
Q4-2017,48
Q1-2018,31
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
