Period,Value
Q1-2010,1
Q2-2010,2
Q3-2010,2
Q4-2010,1
Q1-2011,1
Q2-2011,2
Q3-2011,2
Q4-2011,1
Q1-2012,2
Q2-2012,2
Q3-2012,2
Q4-2012,2
Q1-2013,2
Q2-2013,2
Q3-2013,2
Q4-2013,2
Q1-2014,2
Q2-2014,2
Q3-2014,2
Q4-2014,2
Q1-2015,2
Q2-2015,2
Q3-2015,2
Q4-2015,2
Q1-2016,2
Q2-2016,2
Q3-2016,2
Q4-2016,2
Q1-2017,2
Q2-2017,2
Q3-2017,2
Q4-2017,2
Q1-2018,2
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
