Period,Value
Q1-2010,501
Q2-2010,511
Q3-2010,537
Q4-2010,544
Q1-2011,552
Q2-2011,541
Q3-2011,580
Q4-2011,555
Q1-2012,576
Q2-2012,591
Q3-2012,617
Q4-2012,594
Q1-2013,588
Q2-2013,618
Q3-2013,653
Q4-2013,633
Q1-2014,641
Q2-2014,687
Q3-2014,715
Q4-2014,685
Q1-2015,716
Q2-2015,701
Q3-2015,750
Q4-2015,700
Q1-2016,696
Q2-2016,695
Q3-2016,776
Q4-2016,722
Q1-2017,730
Q2-2017,751
Q3-2017,832
Q4-2017,786
Q1-2018,781
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
