Period,Value
Q1-2010,9
Q2-2010,9
Q3-2010,10
Q4-2010,8
Q1-2011,9
Q2-2011,9
Q3-2011,10
Q4-2011,9
Q1-2012,9
Q2-2012,10
Q3-2012,10
Q4-2012,10
Q1-2013,9
Q2-2013,10
Q3-2013,11
Q4-2013,10
Q1-2014,10
Q2-2014,10
Q3-2014,11
Q4-2014,10
Q1-2015,10
Q2-2015,10
Q3-2015,11
Q4-2015,10
Q1-2016,11
Q2-2016,10
Q3-2016,12
Q4-2016,11
Q1-2017,11
Q2-2017,11
Q3-2017,12
Q4-2017,11
Q1-2018,11
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
