Period,Value
Q1-2010,1818
Q2-2010,2369
Q3-2010,2180
Q4-2010,2179
Q1-2011,2179
Q2-2011,2761
Q3-2011,2453
Q4-2011,2444
Q1-2012,2291
Q2-2012,3061
Q3-2012,2639
Q4-2012,2631
Q1-2013,2492
Q2-2013,3435
Q3-2013,2774
Q4-2013,2792
Q1-2014,2708
Q2-2014,3537
Q3-2014,3045
Q4-2014,3043
Q1-2015,2908
Q2-2015,3808
Q3-2015,3150
Q4-2015,3061
Q1-2016,2910
Q2-2016,3715
Q3-2016,3166
Q4-2016,3145
Q1-2017,2948
Q2-2017,3932
Q3-2017,3410
Q4-2017,3513
Q1-2018,3394
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
