Period,Value
Q1-2010,5
Q2-2010,5
Q3-2010,7
Q4-2010,6
Q1-2011,152
Q2-2011,152
Q3-2011,154
Q4-2011,152
Q1-2012,152
Q2-2012,153
Q3-2012,155
Q4-2012,153
Q1-2013,152
Q2-2013,170
Q3-2013,172
Q4-2013,170
Q1-2014,177
Q2-2014,181
Q3-2014,178
Q4-2014,178
Q1-2015,186
Q2-2015,200
Q3-2015,207
Q4-2015,203
Q1-2016,173
Q2-2016,176
Q3-2016,185
Q4-2016,184
Q1-2017,234
Q2-2017,248
Q3-2017,243
Q4-2017,245
Q1-2018,122
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
