,Year,State,Total Sales Tax,Tobacco Sales Tax,Alcohol Sales Tax,Marijuana Sales Tax,Tobacco's Share of Total Sales Tax %,Alchohol's Share of Total Sales Tax %,Marijuana's Share of Total Sales Tax %
0,2018,Illinois,10985355987.85477,672986631.0160427,235690508.02139038,186306522.61412942,6.126215952947594,2.1454972263253547,1.6959534385604513
1,2019,Illinois,15523941933.18599,924510695.1871659,318086229.9465241,463213323.5603194,5.955386197437469,2.0490042497939376,2.983864056912598
2,2020,Illinois,16739896131.408838,955590909.0909091,322465909.0909091,922600676.8633845,5.708463789676371,1.9263316006236786,5.511388300267416
3,2021,Illinois,17883436165.35775,986671122.9946524,326845588.23529416,1309573865.892508,5.517234573218913,1.8276442245949984,7.322831327176941
