Period,Value
Q1-2010,307
Q2-2010,300
Q3-2010,730
Q4-2010,346
Q1-2011,125
Q2-2011,139
Q3-2011,530
Q4-2011,548
Q1-2012,125
Q2-2012,208
Q3-2012,435
Q4-2012,371
Q1-2013,548
Q2-2013,207
Q3-2013,400
Q4-2013,844
Q1-2014,436
Q2-2014,451
Q3-2014,488
Q4-2014,503
Q1-2015,426
Q2-2015,487
Q3-2015,426
Q4-2015,573
Q1-2016,431
Q2-2016,459
Q3-2016,505
Q4-2016,577
Q1-2017,470
Q2-2017,503
Q3-2017,559
Q4-2017,538
Q1-2018,488
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
