Period,Value
Q1-2010,3
Q2-2010,4
Q3-2010,3
Q4-2010,3
Q1-2011,3
Q2-2011,4
Q3-2011,3
Q4-2011,3
Q1-2012,3
Q2-2012,3
Q3-2012,3
Q4-2012,3
Q1-2013,3
Q2-2013,4
Q3-2013,3
Q4-2013,3
Q1-2014,3
Q2-2014,4
Q3-2014,3
Q4-2014,3
Q1-2015,3
Q2-2015,4
Q3-2015,3
Q4-2015,3
Q1-2016,3
Q2-2016,4
Q3-2016,3
Q4-2016,4
Q1-2017,4
Q2-2017,5
Q3-2017,4
Q4-2017,4
Q1-2018,4
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
