Period,Value
Q1-2010,135
Q2-2010,146
Q3-2010,147
Q4-2010,147
Q1-2011,145
Q2-2011,149
Q3-2011,134
Q4-2011,138
Q1-2012,134
Q2-2012,201
Q3-2012,156
Q4-2012,231
Q1-2013,217
Q2-2013,253
Q3-2013,225
Q4-2013,227
Q1-2014,188
Q2-2014,220
Q3-2014,237
Q4-2014,217
Q1-2015,183
Q2-2015,225
Q3-2015,231
Q4-2015,209
Q1-2016,194
Q2-2016,210
Q3-2016,198
Q4-2016,199
Q1-2017,180
Q2-2017,204
Q3-2017,213
Q4-2017,186
Q1-2018,170
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
