Period,Value
Q1-2010,59
Q2-2010,65
Q3-2010,71
Q4-2010,68
Q1-2011,63
Q2-2011,67
Q3-2011,73
Q4-2011,70
Q1-2012,67
Q2-2012,69
Q3-2012,74
Q4-2012,72
Q1-2013,66
Q2-2013,68
Q3-2013,74
Q4-2013,71
Q1-2014,67
Q2-2014,68
Q3-2014,74
Q4-2014,70
Q1-2015,68
Q2-2015,70
Q3-2015,75
Q4-2015,72
Q1-2016,70
Q2-2016,71
Q3-2016,75
Q4-2016,76
Q1-2017,70
Q2-2017,73
Q3-2017,77
Q4-2017,75
Q1-2018,70
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
