Period,Value
Q1-2010,7092
Q2-2010,7771
Q3-2010,7128
Q4-2010,7250
Q1-2011,7625
Q2-2011,9235
Q3-2011,8539
Q4-2011,8177
Q1-2012,9083
Q2-2012,10459
Q3-2012,8555
Q4-2012,8719
Q1-2013,9833
Q2-2013,11623
Q3-2013,9098
Q4-2013,9440
Q1-2014,10046
Q2-2014,11338
Q3-2014,9391
Q4-2014,9317
Q1-2015,9622
Q2-2015,11510
Q3-2015,9263
Q4-2015,9153
Q1-2016,9871
Q2-2016,10620
Q3-2016,9059
Q4-2016,8845
Q1-2017,9730
Q2-2017,10619
Q3-2017,9982
Q4-2017,10079
Q1-2018,10185
Q2-2018,"NA"
Q3-2018,"NA"
Q4-2018,"NA"
